SourceNode	SourceLayer	TargetNode	TargetLayer
EDNRB	GPCRs	EDNRA	GPCRs
EDNRB	GPCRs	GRK2	GRKs
EDNRB	GPCRs	GRK6	GRKs
EDNRA	GPCRs	GRK6	GRKs
EDNRB	GPCRs	GNA14	G-proteins
EDNRB	GPCRs	GNAI2	G-proteins
EDNRB	GPCRs	GNAI3	G-proteins
EDNRB	GPCRs	GNA11	G-proteins
EDNRB	GPCRs	GNAQ	G-proteins
EDNRB	GPCRs	GNAI1	G-proteins
EDNRB	GPCRs	GNA13	G-proteins
EDNRA	GPCRs	GNAI2	G-proteins
EDNRA	GPCRs	GNAI3	G-proteins
EDNRA	GPCRs	GNA11	G-proteins
EDNRA	GPCRs	GNAI1	G-proteins
EDNRB	GPCRs	EDN1	Effectors
EDNRA	GPCRs	EDN1	Effectors
GRK2	GRKs	GRK6	GRKs
GNAI2	G-proteins	ADCY6	Effectors
GNAI2	G-proteins	GPRIN2	Effectors
GNAI2	G-proteins	TUBB4A	Effectors
GNAI2	G-proteins	NPM1	Effectors
GNAI2	G-proteins	TUBB	Effectors
GNAI2	G-proteins	HSP90AB1	Effectors
GNAI2	G-proteins	RAC2	Effectors
GNAI2	G-proteins	TUBG1	Effectors
GNAI2	G-proteins	MYH9	Effectors
GNAI2	G-proteins	CAPZA2	Effectors
GNAI2	G-proteins	PTEN	Effectors
GNAI2	G-proteins	RAC3	Effectors
GNAI2	G-proteins	RAC1	Effectors
GNAI2	G-proteins	TUBA1B	Effectors
GNAI2	G-proteins	TUBA4A	Effectors
GNAI2	G-proteins	TUBB4B	Effectors
GNAI2	G-proteins	TUBB3	Effectors
GNAI2	G-proteins	TUBB2A	Effectors
GNAI2	G-proteins	RAP1GAP2	Effectors
GNAI2	G-proteins	TUBA1A	Effectors
GNAI2	G-proteins	TUBGCP3	Effectors
GNAI2	G-proteins	ITCH	Effectors
GNAI2	G-proteins	TUBGCP6	Effectors
GNAI2	G-proteins	TUBGCP5	Effectors
