SourceNode	SourceLayer	TargetNode	TargetLayer	Color
TUBB	Effectors	GRK2	GRKs	#00a2ff
GNAI2	G-proteins	ADCY6	Effectors	#62e84a
GNAI2	G-proteins	GPRIN2	Effectors	#62e84a
GNAI2	G-proteins	TUBB4A	Effectors	#62e84a
GNAI2	G-proteins	NPM1	Effectors	#62e84a
GNAI2	G-proteins	TUBB	Effectors	#62e84a
GNAI2	G-proteins	HSP90AB1	Effectors	#62e84a
GNAI2	G-proteins	RAC2	Effectors	#62e84a
GNAI2	G-proteins	TUBG1	Effectors	#62e84a
GNAI2	G-proteins	MYH9	Effectors	#62e84a
GNAI2	G-proteins	CAPZA2	Effectors	#62e84a
GNAI2	G-proteins	PTEN	Effectors	#62e84a
GNAI2	G-proteins	RAC3	Effectors	#62e84a
GNAI2	G-proteins	RAC1	Effectors	#62e84a
GNAI2	G-proteins	TUBA1B	Effectors	#62e84a
GNAI2	G-proteins	TUBA4A	Effectors	#62e84a
GNAI2	G-proteins	TUBB4B	Effectors	#62e84a
GNAI2	G-proteins	TUBB3	Effectors	#62e84a
GNAI2	G-proteins	TUBB2A	Effectors	#62e84a
GNAI2	G-proteins	RAP1GAP2	Effectors	#62e84a
GNAI2	G-proteins	TUBA1A	Effectors	#62e84a
GNAI2	G-proteins	TUBGCP3	Effectors	#62e84a
GNAI2	G-proteins	ITCH	Effectors	#62e84a
GNAI2	G-proteins	TUBGCP6	Effectors	#62e84a
GNAI2	G-proteins	TUBGCP5	Effectors	#62e84a
GNAI2	G-proteins	TTC1	Effectors	#62e84a
GNAI2	G-proteins	TUBA1C	Effectors	#62e84a
GNAI2	G-proteins	TUBGCP2	Effectors	#62e84a
GNAI2	G-proteins	TUBB6	Effectors	#62e84a
GNAI2	G-proteins	TUBB2B	Effectors	#62e84a
GNAI2	G-proteins	TUBB1	Effectors	#62e84a
GNAI2	G-proteins	RIC8A	Effectors	#62e84a
GNAI2	G-proteins	TUBG2	Effectors	#62e84a
GNAI2	G-proteins	TUBA8	Effectors	#62e84a
GNAI2	G-proteins	TUBE1	Effectors	#62e84a
GNAI3	G-proteins	ADCY6	Effectors	#62e84a
GNAI3	G-proteins	GPRIN2	Effectors	#62e84a
GNAI3	G-proteins	TUBB4A	Effectors	#62e84a
GNAI3	G-proteins	TUBB	Effectors	#62e84a
GNAI3	G-proteins	RAC2	Effectors	#62e84a
GNAI3	G-proteins	TUBG1	Effectors	#62e84a
GNAI3	G-proteins	YWHAQ	Effectors	#62e84a
GNAI3	G-proteins	RANGAP1	Effectors	#62e84a
GNAI3	G-proteins	RAC3	Effectors	#62e84a
GNAI3	G-proteins	RAC1	Effectors	#62e84a
GNAI3	G-proteins	TUBA1B	Effectors	#62e84a
GNAI3	G-proteins	TUBA4A	Effectors	#62e84a
GNAI3	G-proteins	TUBB4B	Effectors	#62e84a
GNAI3	G-proteins	YWHAH	Effectors	#62e84a
GNAI3	G-proteins	TUBB3	Effectors	#62e84a
GNAI3	G-proteins	TUBB2A	Effectors	#62e84a
GNAI3	G-proteins	RAP1GAP2	Effectors	#62e84a
GNAI3	G-proteins	TUBA1A	Effectors	#62e84a
GNAI3	G-proteins	USP33	Effectors	#62e84a
GNAI3	G-proteins	TUBGCP3	Effectors	#62e84a
GNAI3	G-proteins	TUBGCP6	Effectors	#62e84a
GNAI3	G-proteins	TUBGCP5	Effectors	#62e84a
GNAI3	G-proteins	TUBA1C	Effectors	#62e84a
GNAI3	G-proteins	TUBGCP2	Effectors	#62e84a
GNAI3	G-proteins	TUBB6	Effectors	#62e84a
GNAI3	G-proteins	TUBB2B	Effectors	#62e84a
GNAI3	G-proteins	TUBB1	Effectors	#62e84a
GNAI3	G-proteins	RIC8A	Effectors	#62e84a
GNAI3	G-proteins	TUBG2	Effectors	#62e84a
GNAI3	G-proteins	TUBA8	Effectors	#62e84a
GNAI3	G-proteins	TUBE1	Effectors	#62e84a
GNAI3	G-proteins	TRAF6	Effectors	#62e84a
GNAI1	G-proteins	ADCY6	Effectors	#62e84a
GNAI1	G-proteins	PDE6D	Effectors	#62e84a
GNAI1	G-proteins	GPRIN2	Effectors	#62e84a
GNAI1	G-proteins	TUBB4A	Effectors	#62e84a
GNAI1	G-proteins	JUN	Effectors	#62e84a
GNAI1	G-proteins	TUBB	Effectors	#62e84a
GNAI1	G-proteins	RAC2	Effectors	#62e84a
GNAI1	G-proteins	TUBG1	Effectors	#62e84a
GNAI1	G-proteins	MYH9	Effectors	#62e84a
GNAI1	G-proteins	RANGAP1	Effectors	#62e84a
GNAI1	G-proteins	PTEN	Effectors	#62e84a
GNAI1	G-proteins	RAC3	Effectors	#62e84a
GNAI1	G-proteins	RAC1	Effectors	#62e84a
GNAI1	G-proteins	TUBA1B	Effectors	#62e84a
GNAI1	G-proteins	TUBA4A	Effectors	#62e84a
GNAI1	G-proteins	TUBB4B	Effectors	#62e84a
GNAI1	G-proteins	TUBB3	Effectors	#62e84a
GNAI1	G-proteins	TUBB2A	Effectors	#62e84a
GNAI1	G-proteins	RAP1GAP2	Effectors	#62e84a
GNAI1	G-proteins	TUBA1A	Effectors	#62e84a
GNAI1	G-proteins	TUBGCP3	Effectors	#62e84a
GNAI1	G-proteins	TUBGCP6	Effectors	#62e84a
GNAI1	G-proteins	TUBGCP5	Effectors	#62e84a
GNAI1	G-proteins	TUBA1C	Effectors	#62e84a
GNAI1	G-proteins	TUBGCP2	Effectors	#62e84a
GNAI1	G-proteins	TUBB6	Effectors	#62e84a
GNAI1	G-proteins	TUBB2B	Effectors	#62e84a
GNAI1	G-proteins	TUBB1	Effectors	#62e84a
GNAI1	G-proteins	RIC8A	Effectors	#62e84a
GNAI1	G-proteins	TUBG2	Effectors	#62e84a
GNAI1	G-proteins	TUBA8	Effectors	#62e84a
GNAI1	G-proteins	TUBE1	Effectors	#62e84a
HSP90AB1	Effectors	GRK2	GRKs	#00a2ff
HSP90AB1	Effectors	GRK6	GRKs	#62e84a
GNA14	G-proteins	GRK2	GRKs	#00a2ff
GNA14	G-proteins	PLCB2	Effectors	#00a2ff
GNA11	G-proteins	GRK2	GRKs	#00a2ff
GNA11	G-proteins	PLCB2	Effectors	#62e84a
GNAQ	G-proteins	ARHGEF11	Effectors	#00a2ff
GNAQ	G-proteins	TUBB4A	Effectors	#00a2ff
GNAQ	G-proteins	TUBB	Effectors	#00a2ff
GNAQ	G-proteins	TUBG1	Effectors	#00a2ff
GNAQ	G-proteins	GRK2	GRKs	#00a2ff
GNAQ	G-proteins	PIK3CA	Effectors	#00a2ff
GNAQ	G-proteins	PIK3CB	Effectors	#00a2ff
GNAQ	G-proteins	ARF6	Effectors	#00a2ff
GNAQ	G-proteins	TUBA1B	Effectors	#00a2ff
GNAQ	G-proteins	TUBA4A	Effectors	#00a2ff
GNAQ	G-proteins	TUBB4B	Effectors	#00a2ff
GNAQ	G-proteins	PLCB2	Effectors	#00a2ff
GNAQ	G-proteins	AKAP13	Effectors	#00a2ff
GNAQ	G-proteins	TUBB3	Effectors	#00a2ff
GNAQ	G-proteins	TUBB2A	Effectors	#00a2ff
GNAQ	G-proteins	TUBA1A	Effectors	#00a2ff
GNAQ	G-proteins	ARHGEF1	Effectors	#00a2ff
GNAQ	G-proteins	TUBGCP3	Effectors	#00a2ff
GNAQ	G-proteins	TUBGCP6	Effectors	#00a2ff
GNAQ	G-proteins	TUBGCP5	Effectors	#00a2ff
GNAQ	G-proteins	TTC1	Effectors	#00a2ff
GNAQ	G-proteins	TUBA1C	Effectors	#00a2ff
GNAQ	G-proteins	TUBGCP2	Effectors	#00a2ff
GNAQ	G-proteins	TUBB6	Effectors	#00a2ff
GNAQ	G-proteins	TUBB2B	Effectors	#00a2ff
GNAQ	G-proteins	TUBB1	Effectors	#00a2ff
GNAQ	G-proteins	RIC8A	Effectors	#00a2ff
GNAQ	G-proteins	TUBG2	Effectors	#00a2ff
GNAQ	G-proteins	TUBA8	Effectors	#00a2ff
GNAQ	G-proteins	ARHGEF12	Effectors	#00a2ff
GNAQ	G-proteins	TUBE1	Effectors	#00a2ff
GNA13	G-proteins	ARHGEF11	Effectors	#00a2ff
GNA13	G-proteins	CDH1	Effectors	#00a2ff
GNA13	G-proteins	ARHGEF1	Effectors	#00a2ff
GNA13	G-proteins	MAP3K5	Effectors	#00a2ff
GNA13	G-proteins	RIC8A	Effectors	#00a2ff
GNA13	G-proteins	ARHGEF12	Effectors	#00a2ff
EDNRB	GPCRs	EDN1	Effectors	#00a2ff
EDNRB	GPCRs	GRK2	GRKs	#00a2ff
EDNRB	GPCRs	GRK6	GRKs	#00a2ff
EDNRB	GPCRs	GNA14	G-proteins	#00a2ff
EDNRB	GPCRs	GNAI2	G-proteins	#00a2ff
EDNRB	GPCRs	GNAI3	G-proteins	#00a2ff
EDNRB	GPCRs	GNA11	G-proteins	#00a2ff
EDNRB	GPCRs	GNAQ	G-proteins	#00a2ff
EDNRB	GPCRs	GNAI1	G-proteins	#00a2ff
EDNRB	GPCRs	GNA13	G-proteins	#00a2ff
EDNRA	GPCRs	EDN1	Effectors	#ff0000
EDNRA	GPCRs	GRK6	GRKs	#ff0000
EDNRA	GPCRs	GNAI2	G-proteins	#ff0000
