SourceNode	SourceLayer	TargetNode	TargetLayer
Group-1	Layer1	Mgstl	Layer2
Group-1	Layer1	KP78a	Layer2
Group-1	Layer1	CG9257	Layer2
Group-1	Layer1	par-1	Layer2
Group-1	Layer1	CG31064	Layer2
Group-1	Layer1	LpR1	Layer2
Group-1	Layer1	Rab39	Layer2
Group-1	Layer1	LpR2	Layer2
Group-1	Layer1	CG3529	Layer2
Group-1	Layer1	Lam	Layer2
Group-1	Layer1	LamC	Layer2
Group-1	Layer1	Sap-r	Layer2
Group-1	Layer1	Vps60	Layer2
Group-1	Layer1	lqf	Layer2
Group-1	Layer1	ninaC	Layer2
Group-1	Layer1	Hrs	Layer2
Group-1	Layer1	Arr2	Layer2
Group-1	Layer1	Arr1	Layer2
Group-1	Layer1	Rab5	Layer2
Group-1	Layer1	CG32683	Layer2
Group-1	Layer1	pins	Layer2
Group-1	Layer1	chp	Layer2
Group-2	Layer1	Sc2	Layer2
Group-2	Layer1	Uch	Layer2
Group-2	Layer1	Prx2540-1	Layer2
Group-2	Layer1	Ace	Layer2
Group-2	Layer1	CG4572	Layer2
Group-2	Layer1	Sgt	Layer2
Group-2	Layer1	CG14715	Layer2
Group-2	Layer1	CG10359	Layer2
Group-2	Layer1	Ect3	Layer2
Group-2	Layer1	CalpB	Layer2
Group-2	Layer1	Prx5	Layer2
Group-2	Layer1	Ost48	Layer2
Group-2	Layer1	Hsp60C	Layer2
Group-2	Layer1	Prx2540-2	Layer2
Group-2	Layer1	Hsp60	Layer2
Group-2	Layer1	Ubqn	Layer2
Group-2	Layer1	Hsp70Ab	Layer2
Group-2	Layer1	Ugt	Layer2
Group-2	Layer1	Iswi	Layer2
Group-2	Layer1	Trap1	Layer2
Group-2	Layer1	Cat	Layer2
Group-2	Layer1	Hsc70-5	Layer2
Group-2	Layer1	CG8209	Layer2
Group-2	Layer1	DnaJ-H	Layer2
Group-2	Layer1	p47	Layer2
Group-2	Layer1	Rad23	Layer2
