SourceNode	SourceLayer	TargetNode	TargetLayer
CG6178	Layer2	yip2	Layer2
shep	Layer2	ScpX	Layer2
nito	Layer2	Ref1	Layer2
bol	Layer2	Hrb27C	Layer2
Lar	Layer2	Abl	Layer2
Lar	Layer2	CadN	Layer2
CG31715	Layer2	cpb	Layer2
Mapmodulin	Layer2	Aats-ile	Layer2
CG5590	Layer2	CG17597	Layer2
Sc2	Layer2	Ost48	Layer2
frj	Layer2	CG10932	Layer2
Kap-alpha3	Layer2	emb	Layer2
Uch	Layer2	Usp5	Layer2
Prx2540-1	Layer2	Prx2540-2	Layer2
CG2082	Layer2	CG2091	Layer2
lig	Layer2	Capr	Layer2
lig	Layer2	rin	Layer2
clu	Layer2	Dp1	Layer2
clu	Layer2	eIF3-S10	Layer2
clu	Layer2	rin	Layer2
clu	Layer2	eIF3-S8	Layer2
clu	Layer2	eIF3-S9	Layer2
CG9090	Layer2	Cyt-c-p	Layer2
CG9090	Layer2	COX5A	Layer2
Ace	Layer2	Cat	Layer2
Dbp80	Layer2	emb	Layer2
Ssadh	Layer2	CG33791	Layer2
Ssadh	Layer2	CG32026	Layer2
Ssadh	Layer2	Mdh2	Layer2
CG4572	Layer2	CG10576	Layer2
CG4572	Layer2	Hsc70-3	Layer2
PlexA	Layer2	alpha-Cat	Layer2
l(1)G0156	Layer2	CG11876	Layer2
l(1)G0156	Layer2	Ssadh	Layer2
l(1)G0156	Layer2	CG33791	Layer2
Plc21C	Layer2	Gbeta76C	Layer2
Plc21C	Layer2	Pkc53E	Layer2
Hrb27C	Layer2	poe	Layer2
Hrb27C	Layer2	heph	Layer2
Hrb27C	Layer2	PyK	Layer2
Hrb27C	Layer2	bel	Layer2
Hrb27C	Layer2	me31B	Layer2
Hrb27C	Layer2	pAbp	Layer2
Hrb27C	Layer2	TER94	Layer2
Khc	Layer2	TAU	Layer2
CG32026	Layer2	CG33791	Layer2
bel	Layer2	Ref1	Layer2
bel	Layer2	poe	Layer2
bel	Layer2	emb	Layer2
bel	Layer2	vig	Layer2
bel	Layer2	me31B	Layer2
Dp1	Layer2	CG2918	Layer2
Sgt	Layer2	Trap1	Layer2
Sgt	Layer2	Tcp-1zeta	Layer2
Men-b	Layer2	CG11876	Layer2
Men-b	Layer2	PyK	Layer2
Men-b	Layer2	Mdh2	Layer2
CG11899	Layer2	CG3011	Layer2
Mgstl	Layer2	CG3529	Layer2
Mgstl	Layer2	Ost48	Layer2
CG14715	Layer2	CG2852	Layer2
Lpin	Layer2	Pkc53E	Layer2
gammaSnap2	Layer2	zetaCOP	Layer2
gammaSnap2	Layer2	betaCOP	Layer2
gammaSnap2	Layer2	epsilonCOP	Layer2
gammaSnap2	Layer2	beta'COP	Layer2
gammaSnap2	Layer2	deltaCOP	Layer2
CG10359	Layer2	Gp93	Layer2
CG10359	Layer2	CG1354	Layer2
CG10359	Layer2	CaBP1	Layer2
CG10359	Layer2	Pdi	Layer2
KP78a	Layer2	CG32683	Layer2
KP78a	Layer2	Arr2	Layer2
CG9257	Layer2	poe	Layer2
CG9257	Layer2	CG3529	Layer2
Ect3	Layer2	Rpn5	Layer2
Ect3	Layer2	CG6891	Layer2
Ect3	Layer2	Cat	Layer2
Ect3	Layer2	CalpB	Layer2
CG4882	Layer2	bonsai	Layer2
CalpB	Layer2	CG6891	Layer2
CalpB	Layer2	Cat	Layer2
par-1	Layer2	CG32683	Layer2
par-1	Layer2	KP78a	Layer2
par-1	Layer2	Arr2	Layer2
Prx5	Layer2	Prx2540-2	Layer2
Prx5	Layer2	Cat	Layer2
Pkc53E	Layer2	zip	Layer2
CG31064	Layer2	Rab5	Layer2
Nlp	Layer2	mago	Layer2
Nlp	Layer2	eEF1delta	Layer2
Nlp	Layer2	smt3	Layer2
CG10186	Layer2	betaCOP	Layer2
CG10186	Layer2	cpb	Layer2
CG10186	Layer2	cpa	Layer2
CG10186	Layer2	beta'COP	Layer2
CG10186	Layer2	bai	Layer2
CG10186	Layer2	epsilonCOP	Layer2
CG10186	Layer2	Dlic	Layer2
CG10186	Layer2	p115	Layer2
CG10186	Layer2	zetaCOP	Layer2
CG10186	Layer2	deltaCOP	Layer2
rin	Layer2	Capr	Layer2
LpR1	Layer2	Arr2	Layer2
LpR1	Layer2	Arr1	Layer2
LpR1	Layer2	Ubqn	Layer2
