SourceNode	SourceLayer	TargetNode	TargetLayer
Pericentrin-GCP Complex	Complex	TUBGCP2	Proteins
Pericentrin-GCP Complex	Complex	TUBGCP3	Proteins
DNA Polymerase Alpha	Complex	POLA1	Proteins
DNA Polymerase Alpha	Complex	POLA2	Proteins
DNA Polymerase Alpha	Complex	PRIM1	Proteins
DNA Polymerase Alpha	Complex	PRIM2	Proteins
AP2 Clathrin	Complex	AP2M1	Proteins
AP2 Clathrin	Complex	AP2M2	Proteins
Centrosome	Complex	CEP250	Proteins
Centrosome	Complex	CEP135	Proteins
Centrosome	Complex	CEP112	Proteins
Centrosome	Complex	CEP350	Proteins
Centrosome	Complex	CEP43	Proteins
Centrosome	Complex	CEP68	Proteins
Centrosome	Complex	CENPF	Proteins
Centrosome	Complex	CDK5RAP2	Proteins
Centrosome	Complex	NINL	Proteins
Centrosome	Complex	PCNT	Proteins
Centrosome	Complex	NIN	Proteins
Centrosome	Complex	CNTRL	Proteins
TIM Complex	Complex	TIMM10	Proteins
TIM Complex	Complex	TIMM9	Proteins
TIM Complex	Complex	TIMM10B	Proteins
TIM Complex	Complex	TIMM29	Proteins
7SK snRNP	Complex	MEPCE	Proteins
7SK snRNP	Complex	LARP7	Proteins
Signal Recognition Particle	Complex	SRP72	Proteins
Signal Recognition Particle	Complex	SRP19	Proteins
Signal Recognition Particle	Complex	SRP54	Proteins
Mitochondrial Ribosome	Complex	MRPS5	Proteins
Mitochondrial Ribosome	Complex	MRPS27	Proteins
Mitochondrial Ribosome	Complex	MRPS25	Proteins
Mitochondrial Ribosome	Complex	MRPS2	Proteins
Exosome	Complex	EXOSC3	Proteins
Exosome	Complex	EXOSC2	Proteins
Exosome	Complex	EXOSC5	Proteins
Exosome	Complex	EXOSC8	Proteins
Fibrillin	Complex	FBN2	Proteins
Fibrillin	Complex	FBLN5	Proteins
Fibrillin	Complex	FBN1	Proteins
Nuclear Pore	Complex	NUP88	Proteins
Nuclear Pore	Complex	NUP54	Proteins
Nuclear Pore	Complex	NUP62	Proteins
Nuclear Pore	Complex	NUP58	Proteins
Nuclear Pore	Complex	NUP214	Proteins
Cul2 Complex	Complex	ZYG11B	Proteins
Cul2 Complex	Complex	CUL2	Proteins
Cul2 Complex	Complex	ELOB	Proteins
Cul2 Complex	Complex	ELOC	Proteins
Cul2 Complex	Complex	RBX1	Proteins
HOPS Complex	Complex	VPS11	Proteins
HOPS Complex	Complex	VPS39	Proteins
Nuclear Pore	Complex	NUP98	Proteins
Nuclear Pore	Complex	RAE1	Proteins
GPI-anchor Biosynthesis	Complex	PIGS	Proteins
GPI-anchor Biosynthesis	Complex	GPAA1	Proteins
Mitochondrial Metabolism	Process	PMPCB	Proteins
Mitochondrial Metabolism	Process	PMPCA	Proteins
Mitochondrial Metabolism	Process	PITRM1	Proteins
Mitochondrial Metabolism	Process	COQ8B	Proteins
Mitochondrial Metabolism	Process	ATP1B1	Proteins
Mitochondrial Metabolism	Process	ACADM	Proteins
Mitochondrial Metabolism	Process	AASS	Proteins
Solute Transport	Process	SLC30A7	Proteins
Solute Transport	Process	SLC30A9	Proteins
ER Morphology	Process	REEP5	Proteins
ER Morphology	Process	REEP6	Proteins
ER Morphology	Process	YIF1A	Proteins
ER Morphology	Process	RTN4	Proteins
RNA Processing	Process	RPL36	Proteins
RNA Processing	Process	DDX21	Proteins
RNA Processing	Process	RBM28	Proteins
RNA Processing	Process	LARP1	Proteins
RNA Processing	Process	PABPC1	Proteins
RNA Processing	Process	MOV10	Proteins
RNA Processing	Process	PABPC4	Proteins
RNA Processing	Process	RRP9	Proteins
RNA Processing	Process	UPF1	Proteins
Stress Granule Regulation	Process	G3BP1	Proteins
Stress Granule Regulation	Process	G3BP2	Proteins
Stress Granule Regulation	Process	CSNK2B	Proteins
Stress Granule Regulation	Process	CSNK2A2	Proteins
Protein Kinase A Signaling	Process	PRKAR2B	Proteins
Protein Kinase A Signaling	Process	PRKACA	Proteins
Protein Kinase A Signaling	Process	PRKAR2A	Proteins
Protein Kinase A Signaling	Process	AKAP9	Proteins
Golgi Organization	Process	GCC2	Proteins
Golgi Organization	Process	GOLGA3	Proteins
Golgi Organization	Process	GOLGB1	Proteins
Golgi Organization	Process	GOLGA2	Proteins
Golgi Organization	Process	GORASP1	Proteins
Golgi Organization	Process	GCC1	Proteins
Transcriptional Regulation	Process	TLE3	Proteins
Transcriptional Regulation	Process	TLE5	Proteins
Transcriptional Regulation	Process	TLE1	Proteins
Ion Transport	Process	ATP5MG	Proteins
Ion Transport	Process	ATP6AP1	Proteins
Ion Transport	Process	ATP13A3	Proteins
Electron Transport	Process	CYB5B	Proteins
Electron Transport	Process	CYB5R3	Proteins
Electron Transport	Process	NDUFAF2	Proteins
Membrane Trafficking	Process	LMAN2	Proteins
Membrane Trafficking	Process	RAB10	Proteins
Membrane Trafficking	Process	RAB14	Proteins
Membrane Trafficking	Process	RAB18	Proteins
Membrane Trafficking	Process	RAB1A	Proteins
Membrane Trafficking	Process	RAB2A	Proteins
Membrane Trafficking	Process	RAB5C	Proteins
Membrane Trafficking	Process	RAB7A	Proteins
Membrane Trafficking	Process	RAB8A	Proteins
Membrane Trafficking	Process	RALA	Proteins
GPCR Signaling	Process	GNB1	Proteins
GPCR Signaling	Process	GNG5	Proteins
GPCR Signaling	Process	RHOA	Proteins
Protein Palmitoylation	Process	ZDHHC5	Proteins
Protein Palmitoylation	Process	GOLGA7	Proteins
ECM Organization	Process	ADAM9	Proteins
ECM Organization	Process	ITGB1	Proteins
ECM Organization	Process	COL6A1	Proteins
ECM Organization	Process	PLOD2	Proteins
ECM Organization	Process	LOX	Proteins
Glycosaminoglycan Synthesis	Process	HS6ST2	Proteins
Glycosaminoglycan Synthesis	Process	CHPF2	Proteins
Glycosaminoglycan Synthesis	Process	CHPF	Proteins
Glycosylation	Process	POFUT1	Proteins
Glycosylation	Process	POGLUT3	Proteins
Glycosylation	Process	POGLUT2	Proteins
ER Protein Quality Control	Process	EDEM3	Proteins
ER Protein Quality Control	Process	ERLEC1	Proteins
ER Protein Quality Control	Process	OS9	Proteins
ER Protein Quality Control	Process	ERO1B	Proteins
ER Protein Quality Control	Process	FOXRED2	Proteins
ER Protein Quality Control	Process	HYOU1	Proteins
ER Protein Quality Control	Process	NGLY1	Proteins
ER Protein Quality Control	Process	SDF2	Proteins
ER Protein Quality Control	Process	SIL1	Proteins
ER Protein Quality Control	Process	TOR1A	Proteins
ER Protein Quality Control	Process	UGGT2	Proteins
MAPK Kinase Signaling	Process	MARK2	Proteins
MAPK Kinase Signaling	Process	MARK3	Proteins
MAPK Kinase Signaling	Process	MARK1	Proteins
Electron Transport	Process	NDUFB9	Proteins
Electron Transport	Process	ECSIT	Proteins
Electron Transport	Process	NDUFAF1	Proteins
Electron Transport	Process	ACAD9	Proteins
AASS	Proteins	PMPCB	Proteins
AASS	Proteins	PITRM1	Proteins
AASS	Proteins	COQ8B	Proteins
AASS	Proteins	PMPCA	Proteins
AATF	Proteins	NGDN	Proteins
AATF	Proteins	NOL10	Proteins
ACADM	Proteins	AASS	Proteins
ACADM	Proteins	PMPCB	Proteins
ACADM	Proteins	PITRM1	Proteins
ACADM	Proteins	COQ8B	Proteins
ACADM	Proteins	PMPCA	Proteins
ADAM9	Proteins	LOX	Proteins
ADAM9	Proteins	PLOD2	Proteins
ADAM9	Proteins	COL6A1	Proteins
AP2A2	Proteins	AP2M1	Proteins
ATP13A3	Proteins	ATP5MG	Proteins
ATP13A3	Proteins	ATP6AP1	Proteins
ATP1B1	Proteins	ACADM	Proteins
ATP1B1	Proteins	AASS	Proteins
ATP1B1	Proteins	PMPCB	Proteins
ATP1B1	Proteins	PITRM1	Proteins
ATP1B1	Proteins	COQ8B	Proteins
