SourceNode	SourceLayer	TargetNode	TargetLayer	Color
Cul2 Complex	Complex	ZYG11B	Proteins	#34FF31
Cul2 Complex	Complex	CUL2	Proteins	#34FF31
Cul2 Complex	Complex	ELOB	Proteins	#34FF31
Cul2 Complex	Complex	ELOC	Proteins	#34FF31
Cul2 Complex	Complex	RBX1	Proteins	#34FF31
Orf10	SARS-CoV-2	PPT1	Proteins	#34FF31
Orf10	SARS-CoV-2	CUL2	Proteins	#34FF31
Orf10	SARS-CoV-2	MAP7D1	Proteins	#34FF31
Orf10	SARS-CoV-2	THTPA	Proteins	#34FF31
Orf10	SARS-CoV-2	ZYG11B	Proteins	#34FF31
Orf10	SARS-CoV-2	TIMM8B	Proteins	#34FF31
Orf10	SARS-CoV-2	RBX1	Proteins	#34FF31
Orf10	SARS-CoV-2	ELOC	Proteins	#34FF31
Orf10	SARS-CoV-2	ELOB	Proteins	#34FF31
Pevonedistat	Drugs	Orf10	SARS-CoV-2	#34FF31
Pevonedistat	Drugs	CUL2	Proteins	#34FF31
Fibrillin	Complex	FBN2	Proteins	#FF5FD3
Fibrillin	Complex	FBLN5	Proteins	#FF5FD3
Fibrillin	Complex	FBN1	Proteins	#FF5FD3
Nuclear Pore	Complex	NUP88	Proteins	#FF5FD3
Nuclear Pore	Complex	NUP54	Proteins	#FF5FD3
Nuclear Pore	Complex	NUP62	Proteins	#FF5FD3
Nuclear Pore	Complex	NUP58	Proteins	#FF5FD3
Nuclear Pore	Complex	NUP214	Proteins	#FF5FD3
Nuclear Pore	Complex	NUP98	Proteins	#FF5FD3
Nuclear Pore	Complex	RAE1	Proteins	#FF5FD3
Nsp2	SARS-CoV-2	SLC27A2	Proteins	#FF5FD3
Nsp2	SARS-CoV-2	EIF4E2	Proteins	#FF5FD3
Nsp2	SARS-CoV-2	POR	Proteins	#FF5FD3
Nsp2	SARS-CoV-2	RAP1GDS1	Proteins	#FF5FD3
Nsp2	SARS-CoV-2	WASHC4	Proteins	#FF5FD3
Nsp2	SARS-CoV-2	FKBP15	Proteins	#FF5FD3
Nsp2	SARS-CoV-2	GIGYF2	Proteins	#FF5FD3
Nsp9	SARS-CoV-2	GTF2F2	Proteins	#FF5FD3
Nsp9	SARS-CoV-2	FBN1	Proteins	#FF5FD3
Nsp9	SARS-CoV-2	FBN2	Proteins	#FF5FD3
Nsp9	SARS-CoV-2	NUP214	Proteins	#FF5FD3
Nsp9	SARS-CoV-2	NUP62	Proteins	#FF5FD3
Nsp9	SARS-CoV-2	DCAF7	Proteins	#FF5FD3
Nsp9	SARS-CoV-2	EIF4H	Proteins	#FF5FD3
Nsp9	SARS-CoV-2	NUP54	Proteins	#FF5FD3
Nsp9	SARS-CoV-2	MIB1	Proteins	#FF5FD3
Nsp9	SARS-CoV-2	SPART	Proteins	#FF5FD3
Nsp9	SARS-CoV-2	NEK9	Proteins	#FF5FD3
Nsp9	SARS-CoV-2	ZNF503	Proteins	#FF5FD3
Nsp9	SARS-CoV-2	NUP88	Proteins	#FF5FD3
Nsp9	SARS-CoV-2	NUP58	Proteins	#FF5FD3
Nsp9	SARS-CoV-2	MAT2B	Proteins	#FF5FD3
Nsp9	SARS-CoV-2	FBLN5	Proteins	#FF5FD3
Orf6	SARS-CoV-2	NUP98	Proteins	#FF5FD3
Orf6	SARS-CoV-2	RAE1	Proteins	#FF5FD3
Orf6	SARS-CoV-2	MTCH1	Proteins	#FF5FD3
Zotatifin (eFT226)	Drugs	Nsp2	SARS-CoV-2	#FF5FD3
Zotatifin (eFT226)	Drugs	EIF4E2	Proteins	#FF5FD3
Zotatifin (eFT226)	Drugs	EIF4H	Proteins	#FF5FD3
