SCENE_PAN	 	 	 	 	 	 	 	 
-320	10	0.456302989349695	#000000	 	 	 	 	 
SCENE_SPHERE	 	 	 	 	 	 	 	 
0.279252680319093	0.279252680319093	-1.58824961931484	 	 	 	 	 	 
LAYERS	 	 	 	 	 	 	 	 
-819.2	300	0	0.6	0	0	0	#5e5a5a	 1244.7619047619048
-159.6	850	0	1	0	0	0	#5e5a5a	 1244.7619047619048
-600	1325	0	0.6	0	0	0	#5e5a5a	 1244.7619047619048
409.6	-50	0	0.7	0	0	0	#5e5a5a	 1244.7619047619048
819.2	900	0	1	0	0	0	#5e5a5a	 1244.7619047619048
NODES	 	 	 	 	 	 	 	 
Pericentrin-GCP Complex	Complex	0	-187.632917471854	212.593778709733	0.53921568627451	#63b598	 	 
TUBGCP2	Proteins	0	-354.817961725556	347.86115539628	0.57843137254902	#ce7d78	 	 
TUBGCP3	Proteins	0	-346.070269403277	332.464903691254	0.57843137254902	#ce7d78	 	 
DNA Polymerase Alpha	Complex	0	40.5705071933332	-308.931155161144	0.617647058823529	#63b598	 	 
POLA1	Proteins	0	30.2866931904678	-488.389101199259	0.656862745098039	#ce7d78	 	 
POLA2	Proteins	0	38.2140458068747	-522.8	0.656862745098039	#ce7d78	 	 
PRIM1	Proteins	0	47.8301523765529	-496.125715709798	0.656862745098039	#ce7d78	 	 
PRIM2	Proteins	0	18.7632301696416	-519.783211245172	0.656862745098039	#ce7d78	 	 
AP2 Clathrin	Complex	0	40.2872483389375	-221.385397649721	0.53921568627451	#63b598	 	 
AP2M1	Proteins	0	30.0138706709988	-379.87378987319	0.57843137254902	#ce7d78	 	 
AP2M2	Proteins	0	104.846470192828	-361.369485344971	0.5	#ce7d78	 	 
Centrosome	Complex	0	-31.6401746291967	313.68	0.931372549019608	#63b598	 	 
CEP250	Proteins	0	-33.7891115252368	484.21005911334	1.00980392156863	#ce7d78	 	 
CEP135	Proteins	0	-75.5406122460554	498.498107028205	0.970588235294118	#ce7d78	 	 
CEP112	Proteins	0	-52.202425700657	501.708125117507	0.970588235294118	#ce7d78	 	 
CEP350	Proteins	0	-43.3667716232898	476.104229073258	0.970588235294118	#ce7d78	 	 
CEP43	Proteins	0	-62.3184446483099	489.880589934656	0.970588235294118	#ce7d78	 	 
CEP68	Proteins	0	-76.9162418502298	488.852474286637	0.970588235294118	#ce7d78	 	 
CENPF	Proteins	0	-56.7087302004466	475.51393666363	0.970588235294118	#ce7d78	 	 
CDK5RAP2	Proteins	0	-31.7214828131495	494.026922939402	0.970588235294118	#ce7d78	 	 
NINL	Proteins	0	-47.2254541774279	489.055701638647	0.970588235294118	#ce7d78	 	 
PCNT	Proteins	0	-64.7131416740509	502.252049754014	0.970588235294118	#ce7d78	 	 
NIN	Proteins	0	-40.05263456931	500.385439768705	0.970588235294118	#ce7d78	 	 
CNTRL	Proteins	0	-69.7479524355591	478.698380208435	0.970588235294118	#ce7d78	 	 
TIM Complex	Complex	0	297.057404560523	-203.184495537298	0.617647058823529	#63b598	 	 
TIMM10	Proteins	0	491.202424918485	-312.750225774895	0.656862745098039	#ce7d78	 	 
TIMM9	Proteins	0	463.244238877516	-325.560791937577	0.656862745098039	#ce7d78	 	 
TIMM10B	Proteins	0	469.440030317522	-310.595745567601	0.656862745098039	#ce7d78	 	 
TIMM29	Proteins	0	491.848980083748	-297.662921001147	0.656862745098039	#ce7d78	 	 
7SK snRNP	Complex	0	76.8679818880548	-112.494795669514	0.53921568627451	#63b598	 	 
MEPCE	Proteins	0	109.771764054971	-152.188117837176	0.57843137254902	#ce7d78	 	 
LARP7	Proteins	0	93.5574355297022	-164.767779809716	0.57843137254902	#ce7d78	 	 
Signal Recognition Particle	Complex	0	31.9792162239735	-123.224088643584	0.57843137254902	#63b598	 	 
SRP72	Proteins	0	72.3369709377744	-172.947094125593	0.617647058823529	#ce7d78	 	 
SRP19	Proteins	0	57.4806028818697	-165.531336267474	0.617647058823529	#ce7d78	 	 
SRP54	Proteins	0	41.5692781854823	-171.068783735461	0.617647058823529	#ce7d78	 	 
Mitochondrial Ribosome	Complex	0	85.7805734436142	-58.9149955956455	0.617647058823529	#63b598	 	 
MRPS5	Proteins	0	116.170659048271	-126.364646328463	0.656862745098039	#ce7d78	 	 
MRPS27	Proteins	0	112.547319402645	-109.293592796413	0.656862745098039	#ce7d78	 	 
MRPS25	Proteins	0	100.941616795097	-96.752493007177	0.656862745098039	#ce7d78	 	 
MRPS2	Proteins	0	97.5247455652668	-117.536079590365	0.656862745098039	#ce7d78	 	 
Exosome	Complex	0	-14.3020832265567	-72.8827225772757	0.617647058823529	#63b598	 	 
EXOSC3	Proteins	0	13.2615297216547	-109.626082986533	0.656862745098039	#ce7d78	 	 
EXOSC2	Proteins	0	14.0842849582029	-141.851805352129	0.656862745098039	#ce7d78	 	 
EXOSC5	Proteins	0	26.6962867517407	-124.675723402237	0.656862745098039	#ce7d78	 	 
EXOSC8	Proteins	0	8.81995474635664	-126.894169208909	0.656862745098039	#ce7d78	 	 
Fibrillin	Complex	0	357.824361513636	-186.55493919755	2	#FF5FD3	 	 
FBN2	Proteins	0	276.549657919596	-102.006133906858	1	#FF5FD3	 	 
FBLN5	Proteins	0	204.752395544591	-80.3755929196213	1	#FF5FD3	 	 
FBN1	Proteins	0	204.752395544591	-123.636674894094	1	#FF5FD3	 	 
Nuclear Pore	Complex	0	188.781265489152	-182.124824930023	2	#FF5FD3	 	 
NUP88	Proteins	0	-99.1408340175429	-93.6886254979997	1	#FF5FD3	 	 
NUP54	Proteins	0	-127.144140236241	-22.8404780113446	1	#FF5FD3	 	 
NUP62	Proteins	0	-190.066998146309	-5.34243062097377	1	#FF5FD3	 	 
NUP58	Proteins	0	-240.527212349078	-54.370869906955	1	#FF5FD3	 	 
NUP214	Proteins	0	-240.527212349078	-133.006381089044	1	#FF5FD3	 	 
Cul2 Complex	Complex	0	-337.519160088155	161.341345360631	2	#34FF31	 	 
ZYG11B	Proteins	0	-601.508712954023	156.815898891443	2	#34FF31	 	 
CUL2	Proteins	0	-453.105795244196	125.726088872961	2	#34FF31	 	 
ELOB	Proteins	0	-471.005377313804	67.296358760953	1	#34FF31	 	 
ELOC	Proteins	0	-516.328710140564	36.2065487424702	1	#34FF31	 	 
RBX1	Proteins	0	-567.868502582098	47.0039264499114	1	#34FF31	 	 
HOPS Complex	Complex	0	236.87447717486	-245.923879421994	0.53921568627451	#63b598	 	 
VPS11	Proteins	0	366.095985010363	-432.171252996132	0.57843137254902	#ce7d78	 	 
VPS39	Proteins	0	354.461396621411	-409.626596377683	0.57843137254902	#ce7d78	 	 
NUP98	Proteins	0	-190.066998146309	-182.034820375026	2	#FF5FD3	 	 
RAE1	Proteins	0	-127.144140236241	-164.536772984655	2	#FF5FD3	 	 
GPI-anchor Biosynthesis	Complex	0	-290.16642395882	-154.823944546016	0.53921568627451	#63b598	 	 
PIGS	Proteins	0	-445.745924264987	-242.584897253084	0.57843137254902	#ce7d78	 	 
GPAA1	Proteins	0	-457.657591341676	-228.485321380151	0.57843137254902	#ce7d78	 	 
Mitochondrial Metabolism	Process	0	-289.673180220639	186.118619889129	0.735294117647059	#ea9e70	 	 
PMPCB	Proteins	0	-438.418047637171	329.7340482361	0.774509803921569	#ce7d78	 	 
PMPCA	Proteins	0	-454.806930133351	320.583271277121	0.774509803921569	#ce7d78	 	 
PITRM1	Proteins	0	-431.087332335766	317.435686287516	0.774509803921569	#ce7d78	 	 
COQ8B	Proteins	0	-432.871900128614	304.278885672131	0.774509803921569	#ce7d78	 	 
ATP1B1	Proteins	0	-453.45851449669	332.614230568886	0.774509803921569	#ce7d78	 	 
ACADM	Proteins	0	-452.520171739517	308.312973053894	0.774509803921569	#ce7d78	 	 
AASS	Proteins	0	-445.3412577159	297.695061394292	0.774509803921569	#ce7d78	 	 
Solute Transport	Process	0	-268.63012851753	150.328714460265	0.53921568627451	#ea9e70	 	 
SLC30A7	Proteins	0	-408.550947988665	274.915676729539	0.617647058823529	#ce7d78	 	 
SLC30A9	Proteins	0	-426.280398853508	279.481692114276	0.617647058823529	#ce7d78	 	 
ER Morphology	Process	0	-206.110207502228	156.768728721375	0.617647058823529	#ea9e70	 	 
REEP5	Proteins	0	-384.864687478686	278.6773862305	0.656862745098039	#ce7d78	 	 
