SourceNode	TargetNode	Weight	SourceLayer	TargetLayer
2	1	1	Layer1	Layer1
3	1	1	Layer1	Layer1
4	1	1	Layer1	Layer1
5	1	1	Layer1	Layer1
6	1	1	Layer1	Layer1
7	1	1	Layer1	Layer1
8	1	1	Layer1	Layer1
9	1	1	Layer1	Layer1
10	3	1	Layer1	Layer1
11	5	1	Layer1	Layer1
12	1	1	Layer1	Layer1
13	1	1	Layer1	Layer1
14	4	1	Layer1	Layer1
16	1	1	Layer1	Layer1
17	3	1	Layer1	Layer1
18	17	1	Layer1	Layer1
19	1	1	Layer1	Layer1
20	3	1	Layer1	Layer1
21	1	1	Layer1	Layer1
22	1	1	Layer1	Layer1
23	1	1	Layer1	Layer1
24	1	1	Layer1	Layer1
25	17	1	Layer1	Layer1
26	1	1	Layer1	Layer1
27	1	1	Layer1	Layer1
28	1	1	Layer1	Layer1
30	15	1	Layer1	Layer1
31	10	1	Layer1	Layer1
32	3	1	Layer1	Layer1
33	23	1	Layer1	Layer1
34	13	1	Layer1	Layer1
35	1	1	Layer1	Layer1
36	1	1	Layer1	Layer1
37	1	1	Layer1	Layer1
38	1	1	Layer1	Layer1
39	31	1	Layer1	Layer1
40	1	1	Layer1	Layer1
41	13	1	Layer1	Layer1
42	15	1	Layer1	Layer1
44	1	1	Layer1	Layer1
45	10	1	Layer1	Layer1
46	16	1	Layer1	Layer1
47	1	1	Layer1	Layer1
48	10	1	Layer1	Layer1
49	1	1	Layer1	Layer1
50	1	1	Layer1	Layer1
51	17	1	Layer1	Layer1
52	22	1	Layer1	Layer1
53	10	1	Layer1	Layer1
54	21	1	Layer1	Layer1
55	17	1	Layer1	Layer1
56	43	1	Layer1	Layer1
58	30	1	Layer1	Layer1
59	21	1	Layer1	Layer1
60	14	1	Layer1	Layer1
61	1	1	Layer1	Layer1
62	21	1	Layer1	Layer1
63	56	1	Layer1	Layer1
64	1	1	Layer1	Layer1
65	14	1	Layer1	Layer1
66	17	1	Layer1	Layer1
67	17	1	Layer1	Layer1
68	33	1	Layer1	Layer1
69	41	1	Layer1	Layer1
70	45	1	Layer1	Layer1
72	1	1	Layer1	Layer1
73	17	1	Layer1	Layer1
74	1	1	Layer1	Layer1
75	46	1	Layer1	Layer1
76	33	1	Layer1	Layer1
77	58	1	Layer1	Layer1
78	56	1	Layer1	Layer1
79	17	1	Layer1	Layer1
80	56	1	Layer1	Layer1
81	2	1	Layer1	Layer1
82	68	1	Layer1	Layer1
83	1	1	Layer1	Layer1
84	1	1	Layer1	Layer1
86	56	1	Layer1	Layer1
87	83	1	Layer1	Layer1
88	1	1	Layer1	Layer1
89	1	1	Layer1	Layer1
90	56	1	Layer1	Layer1
91	1	1	Layer1	Layer1
92	1	1	Layer1	Layer1
93	39	1	Layer1	Layer1
94	31	1	Layer1	Layer1
95	3	1	Layer1	Layer1
96	75	1	Layer1	Layer1
97	23	1	Layer1	Layer1
98	15	1	Layer1	Layer1
2	1	1	Layer2	Layer2
3	1	1	Layer2	Layer2
4	1	1	Layer2	Layer2
5	1	1	Layer2	Layer2
6	1	1	Layer2	Layer2
7	3	1	Layer2	Layer2
8	5	1	Layer2	Layer2
9	5	1	Layer2	Layer2
10	1	1	Layer2	Layer2
11	1	1	Layer2	Layer2
12	1	1	Layer2	Layer2
13	1	1	Layer2	Layer2
15	13	1	Layer2	Layer2
16	5	1	Layer2	Layer2
17	13	1	Layer2	Layer2
18	7	1	Layer2	Layer2
19	13	1	Layer2	Layer2
20	1	1	Layer2	Layer2
21	14	1	Layer2	Layer2
22	16	1	Layer2	Layer2
23	8	1	Layer2	Layer2
24	1	1	Layer2	Layer2
25	22	1	Layer2	Layer2
26	1	1	Layer2	Layer2
28	1	1	Layer2	Layer2
29	5	1	Layer2	Layer2
30	25	1	Layer2	Layer2
31	3	1	Layer2	Layer2
32	1	1	Layer2	Layer2
33	1	1	Layer2	Layer2
34	29	1	Layer2	Layer2
35	25	1	Layer2	Layer2
36	1	1	Layer2	Layer2
37	5	1	Layer2	Layer2
38	1	1	Layer2	Layer2
39	1	1	Layer2	Layer2
41	3	1	Layer2	Layer2
42	5	1	Layer2	Layer2
43	1	1	Layer2	Layer2
44	5	1	Layer2	Layer2
45	42	1	Layer2	Layer2
46	43	1	Layer2	Layer2
47	14	1	Layer2	Layer2
48	5	1	Layer2	Layer2
49	14	1	Layer2	Layer2
50	1	1	Layer2	Layer2
51	34	1	Layer2	Layer2
52	47	1	Layer2	Layer2
54	29	1	Layer2	Layer2
55	5	1	Layer2	Layer2
56	13	1	Layer2	Layer2
57	5	1	Layer2	Layer2
58	5	1	Layer2	Layer2
59	1	1	Layer2	Layer2
60	5	1	Layer2	Layer2
61	1	1	Layer2	Layer2
62	1	1	Layer2	Layer2
63	35	1	Layer2	Layer2
64	5	1	Layer2	Layer2
65	5	1	Layer2	Layer2
67	29	1	Layer2	Layer2
68	12	1	Layer2	Layer2
69	5	1	Layer2	Layer2
70	5	1	Layer2	Layer2
71	29	1	Layer2	Layer2
72	4	1	Layer2	Layer2
73	13	1	Layer2	Layer2
74	46	1	Layer2	Layer2
75	64	1	Layer2	Layer2
76	74	1	Layer2	Layer2
77	1	1	Layer2	Layer2
78	69	1	Layer2	Layer2
80	14	1	Layer2	Layer2
81	3	1	Layer2	Layer2
82	1	1	Layer2	Layer2
83	62	1	Layer2	Layer2
84	25	1	Layer2	Layer2
85	25	1	Layer2	Layer2
86	46	1	Layer2	Layer2
87	46	1	Layer2	Layer2
88	78	1	Layer2	Layer2
89	86	1	Layer2	Layer2
90	4	1	Layer2	Layer2
91	4	1	Layer2	Layer2
93	86	1	Layer2	Layer2
94	1	1	Layer2	Layer2
95	62	1	Layer2	Layer2
96	5	1	Layer2	Layer2
97	4	1	Layer2	Layer2
98	5	1	Layer2	Layer2
99	37	1	Layer2	Layer2
100	20	1	Layer2	Layer2
101	96	1	Layer2	Layer2
102	29	1	Layer2	Layer2
103	32	1	Layer2	Layer2
104	5	1	Layer2	Layer2
106	5	1	Layer2	Layer2
107	5	1	Layer2	Layer2
108	5	1	Layer2	Layer2
109	5	1	Layer2	Layer2
110	1	1	Layer2	Layer2
111	25	1	Layer2	Layer2
112	14	1	Layer2	Layer2
113	13	1	Layer2	Layer2
114	73	1	Layer2	Layer2
115	35	1	Layer2	Layer2
116	1	1	Layer2	Layer2
117	37	1	Layer2	Layer2
119	1	1	Layer2	Layer2
120	1	1	Layer2	Layer2
121	75	1	Layer2	Layer2
122	5	1	Layer2	Layer2
123	104	1	Layer2	Layer2
124	58	1	Layer2	Layer2
125	13	1	Layer2	Layer2
126	14	1	Layer2	Layer2
127	56	1	Layer2	Layer2
128	116	1	Layer2	Layer2
129	39	1	Layer2	Layer2
130	73	1	Layer2	Layer2
132	112	1	Layer2	Layer2
133	58	1	Layer2	Layer2
134	14	1	Layer2	Layer2
135	4	1	Layer2	Layer2
